popularity,english_title,release_year,runtime,tmdb_id,imdbRating,imdbVotes,rtAudienceRating,poster,backdrop,imdb_id,created_at,run_id,rtAudienceVotes,rt_id,lb_id,lbRating,lbVotes,tmdbRating,tmdbVotes,rtCriticRating,rtCriticVotes
0.6582,Bull Run,2025,97,1037925,1,258,95,https://image.tmdb.org/t/p/w500/pa97Vu2Vy5oJWWxtxFZIXaQsSEU.jpg,https://image.tmdb.org/t/p/w1280/oylRawElar6jIpDjpIGIzxjTkvt.jpg,tt18950566,2026-01-16 11:52:01.778288+00,229,10,/m/bull_run,tmdb/1037925,2.7,442,59,7,95,9
65.5191,Dust Bunny,2025,106,1043197,6.5,9785,81,https://image.tmdb.org/t/p/w500/vobigFZFvbYPf6ElYJu07P9rH8C.jpg,https://image.tmdb.org/t/p/w1280/AecGG1XVCmkk7fT10ko3FC0dLIP.jpg,tt23172090,2026-01-16 11:52:01.778288+00,154,100,/m/dust_bunny,tmdb/1043197,3.3,24890,67,173,85,109
38.6067,One Battle After Another,2025,162,1054867,7.7,327083,85,https://image.tmdb.org/t/p/w500/lbBWwxBht4JFP5PsuJ5onpMqugW.jpg,https://image.tmdb.org/t/p/w1280/gre7gyocZSuwd7M51CGlqsJqBmB.jpg,tt30144839,2026-01-16 11:52:01.778288+00,242,5000,/m/one_battle_after_another,tmdb/1054867,4.2,2167354,74,2842,94,434
9999999,Queen Mom,2025,93,1063873,5.1,104,95,https://image.tmdb.org/t/p/w500/nmFgyl5dS3Ed0HR9KIxQPORLAKV.jpg,https://image.tmdb.org/t/p/w1280/3x5FyDjNb61cZMET8pqhoKygHau.jpg,tt32874862,2026-01-20 17:15:21.870958+00,242,10,,tmdb/1063873,3.1,1388,68,6,95,4
5.295,Miss Violet,2024,109,1063875,7,518,95,https://image.tmdb.org/t/p/w500/eFTgCTDbWMEsxOGZnQq78XoUMyY.jpg,https://image.tmdb.org/t/p/w1280/zT8LR9MkZuHZxJsaqgNpxUf9lxl.jpg,tt30192483,2026-01-16 11:52:01.778288+00,220,10,,tmdb/1063875,3.2,4123,70,55,95,10
158.4156,Zootopia 2,2025,108,1084242,7.4,83878,96,https://image.tmdb.org/t/p/w500/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,https://image.tmdb.org/t/p/w1280/5BeOSbwt6BR7q2Fax70lF4AIshD.jpg,tt26443597,2026-01-16 11:52:01.778288+00,242,5000,/m/zootopia_2,tmdb/1084242,3.8,1128670,76,1750,91,222
1.2522,Once Upon My Mother,2025,102,1107215,10,1659,95,https://image.tmdb.org/t/p/w500/rBgbsL6DOyLLqPD9JL2NIfv2bcY.jpg,https://image.tmdb.org/t/p/w1280/qMYb0pTEnsYsYPVD1uJIpOMumYB.jpg,tt29927144,2026-01-16 11:52:01.778288+00,229,50,/m/ma_mere_dieu_et_sylvie_vartan,tmdb/1107215,3.6,41079,70,211,95,3
6.8638,Pets on a Train,2025,87,1107216,10,929,83,https://image.tmdb.org/t/p/w500/b10qy1KwrfmH0MGS2rBUJ0BxgYB.jpg,https://image.tmdb.org/t/p/w1280/3Gjo73aMqNWxNdBa7PeEj7AXJ3E.jpg,tt36424914,2026-01-16 11:52:01.778288+00,229,50,/m/pets_on_a_train,tmdb/1107216,2.8,2270,70,37,95,9
9999999,"Good Luck, Have Fun, Don't Die",2026,134,1119449,7.5,4005,85,https://image.tmdb.org/t/p/w500/af7yguGbWQyvYtk6QCD5l4yBbKN.jpg,https://image.tmdb.org/t/p/w1280/yjOSpDQe8tzr8easpjTFVoQXsOX.jpg,tt1341338,2026-02-18 14:30:00.230817+00,242,,/m/good_luck_have_fun_dont_die,tmdb/1119449,3.5,44539,75,14,85,176
2.1432,When in Rome,2024,99,1119544,1,975,97,https://image.tmdb.org/t/p/w500/1BppPECgKyTmpsT9icpuHZy9r14.jpg,https://image.tmdb.org/t/p/w1280/co3sIugI7B3stDeaBfZXDWU80BP.jpg,tt27123082,2026-01-16 11:52:01.778288+00,219,500,/m/when_it_rains_in_la,tmdb/1119544,3.1,848,62,19,16,1
2.2214,The Proud Princess,2024,80,1134680,10,238,95,https://image.tmdb.org/t/p/w500/nWWkk5E8uiwNfywwcEFkEA5BObb.jpg,https://image.tmdb.org/t/p/w1280/nnDVfcM9J6FNBerIm0rjUsljwCx.jpg,tt10996076,2026-01-16 11:52:01.778288+00,242,0,/m/the_proud_princess,tmdb/1134680,3,345,68,8,95,0
9999999,Is This Thing On?,2025,121,1140498,6,6161,83,https://image.tmdb.org/t/p/w500/92laLBRtuyOm7l32XZJT7T6OXW1.jpg,https://image.tmdb.org/t/p/w1280/AkaC3h2NqSYX4NIHlqGKvrGOMeS.jpg,tt28083456,2026-02-02 07:28:03.449438+00,242,500,/m/is_this_thing_on,tmdb/1140498,3.5,77055,67,36,86,192
4.9601,Marsupilami,2026,99,1145899,7,332,95,https://image.tmdb.org/t/p/w500/rJNHFa07Id2ylQgw0ttzGwpeczE.jpg,https://image.tmdb.org/t/p/w1280/sd0QuOnKX0aM89nz886aQaixwCx.jpg,tt33029380,2026-02-02 07:28:03.449438+00,242,10,/m/marsupilami,tmdb/1145899,2.7,9920,67,36,95,0
1.6399,Yes,2025,152,1149614,5,503,95,https://image.tmdb.org/t/p/w500/vKcLVwN6gaohsZpNY9sAPEhQIgc.jpg,https://image.tmdb.org/t/p/w1280/rOl9x0SK2x9CSl6bV9R7Zny8O2A.jpg,tt36667493,2026-01-16 11:52:01.778288+00,220,50,/m/yes_2025,tmdb/1149614,3.5,5123,65,12,87,15
187.7203,Scream 7,2026,114,1159559,,,,https://image.tmdb.org/t/p/w500/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,https://image.tmdb.org/t/p/w1280/nrNw1YMnKakUxzp8vjHnPmahoic.jpg,tt27047903,2026-02-18 14:30:00.230817+00,242,,/m/scream_7,tmdb/1159559,,,0,0,,0
21.9234,The Bride!,2026,126,1159831,,,,https://image.tmdb.org/t/p/w500/lV8YHwGkYZsm6EfIqnhaSz2avKt.jpg,https://image.tmdb.org/t/p/w1280/8XeUEIXiZiRNqz0EcKC65vje8Th.jpg,tt30851137,2026-03-01 23:46:36.91303+00,242,,,,,,,,,
51.1027,David,2025,109,1167307,,,,https://image.tmdb.org/t/p/w500/bESlrLOrsQ9gKzaGQGHXKOyIUtX.jpg,https://image.tmdb.org/t/p/w1280/oN4TQ1TxchynXlFiXFBL3NHLT54.jpg,tt15678738,2026-03-01 23:46:36.91303+00,242,,,,,,,,,
50.2377,Crime 101,2026,141,1171145,7.2,8460,85,https://image.tmdb.org/t/p/w500/2HoR2x23bqKpopluoBD1FH3tBi7.jpg,https://image.tmdb.org/t/p/w1280/yWZc7ZglTAecVLKHS0oROuetKce.jpg,tt32430579,2026-02-18 14:30:00.230817+00,242,,/m/crime_101_2026,tmdb/1171145,3.2,62018,70,65,87,159
0.9843,Moon the Panda,2025,99,1178532,8,387,95,https://image.tmdb.org/t/p/w500/2jcQNxdAt6ory848JlVGIuKbuKe.jpg,https://image.tmdb.org/t/p/w1280/qZmBjWUQDw0s7oUIDRT3hWkcWlO.jpg,tt35705226,2026-01-16 11:52:01.778288+00,229,50,/m/moon_the_panda,tmdb/1178532,2.4,1241,64,32,95,1
